date,open,high,low,close,volume,dividend_amount
2005-01-03,187.0,190.0,185.15,188.95,276055.0,0.0
2005-01-04,188.05,191.3,187.0,188.05,195660.0,0.0
2005-01-05,189.0,189.25,176.0,183.6,275045.0,0.0
2005-01-06,181.0,187.9,177.0,182.5,257265.0,0.0
2005-01-07,185.8,190.3,182.25,189.1,387115.0,0.0
2005-01-10,192.0,194.65,190.0,192.5,360065.0,0.0
2005-01-11,192.0,193.3,183.05,187.45,173535.0,0.0
2005-01-12,187.1,187.1,178.0,180.35,187490.0,0.0
2005-01-13,181.0,184.0,169.1,174.95,1484210.0,0.0
2005-01-14,177.8,190.6,176.1,188.1,755565.0,0.0
2005-01-17,191.8,201.85,186.05,196.55,1744810.0,0.0
2005-01-18,198.25,207.9,196.05,197.25,1642555.0,0.0
2005-01-19,198.55,202.0,193.55,195.45,376130.0,0.0
2005-01-20,196.0,196.0,188.5,191.4,224105.0,0.0
2005-01-24,191.0,209.3,189.0,205.05,924070.0,0.0
2005-01-25,205.0,205.95,197.0,199.05,443725.0,0.0
2005-01-27,200.8,207.45,199.2,206.25,571995.0,0.0
2005-01-28,207.1,208.0,203.25,203.9,268210.0,0.0
2005-01-31,204.2,209.0,203.4,206.2,492775.0,0.0
2005-02-01,209.0,209.0,198.0,204.55,587750.0,0.0
2005-02-02,205.5,219.45,201.55,214.95,1035935.0,0.0
2005-02-03,215.0,225.8,214.15,224.55,973145.0,0.0
2005-02-04,225.0,231.0,220.0,224.6,759345.0,0.0
2005-02-07,227.75,229.0,220.05,221.95,228065.0,0.0
2005-02-08,222.0,232.45,221.6,229.3,453915.0,0.0
2005-02-09,231.8,232.0,225.0,230.95,349285.0,0.0
2005-02-10,228.05,229.95,223.0,225.55,110500.0,0.0
2005-02-11,227.0,232.0,226.5,230.7,195155.0,0.0
2005-02-14,233.8,235.2,226.0,232.4,300935.0,0.0
2005-02-15,229.05,233.0,229.05,231.1,113280.0,0.0
2005-02-16,233.75,234.5,228.0,232.3,432445.0,0.0
2005-02-17,230.0,231.8,218.05,219.8,301830.0,0.0
2005-02-18,222.0,227.0,220.0,220.7,756940.0,0.0
2005-02-21,225.0,236.4,220.05,230.55,437440.0,0.0
2005-02-22,230.55,232.0,224.0,230.6,195175.0,0.0
2005-02-23,229.0,231.4,224.0,226.55,93065.0,0.0
2005-02-24,225.5,231.4,225.5,228.9,1364175.0,0.0
2005-02-25,232.45,234.45,224.0,225.65,366360.0,0.0
2005-02-28,228.0,256.0,228.0,241.05,1619520.0,0.0
2005-03-01,243.05,243.05,225.0,226.1,1126305.0,0.0
2005-03-02,228.5,233.7,226.1,227.9,469635.0,0.0
2005-03-03,231.0,232.45,227.1,228.25,243430.0,0.0
2005-03-04,230.8,234.0,229.0,232.1,915410.0,0.0
2005-03-07,235.0,244.0,234.0,235.95,589080.0,0.0
2005-03-08,240.0,247.9,237.5,246.25,687555.0,0.0
2005-03-09,247.0,256.0,244.0,249.7,1392820.0,0.0
2005-03-10,251.0,263.6,251.0,257.1,1400190.0,0.0
2005-03-11,258.45,263.0,254.0,260.85,1551960.0,0.0
2005-03-14,263.85,269.1,259.75,260.05,969585.0,0.0
2005-03-15,262.95,267.05,249.0,256.05,1223195.0,0.0
2005-03-16,259.0,267.0,241.05,244.8,2104670.0,0.0
2005-03-17,245.25,252.0,240.0,241.2,761780.0,0.0
2005-03-18,243.5,245.75,238.0,240.1,655585.0,0.0
2005-03-21,244.0,245.0,240.0,240.3,179460.0,0.0
2005-03-22,242.0,242.0,233.05,234.6,718725.0,0.0
2005-03-23,232.0,237.85,232.0,236.9,6188810.0,0.0
2005-03-24,237.0,238.0,228.35,233.55,1822745.0,0.0
2005-03-28,235.0,237.5,230.0,231.65,245500.0,0.0
2005-03-29,234.25,234.25,223.05,226.15,5221545.0,0.0
2005-03-30,230.0,265.0,223.5,240.85,229355.0,0.0
