date,open,high,low,close,volume,dividend_amount
03-01-2005,320,322,316,318.75,413807,0
04-01-2005,321.65,322,315.5,317.65,474117,0
05-01-2005,317.5,317.55,287,301.15,769930,0
06-01-2005,305,305.1,290,293.5,1237895,0
07-01-2005,293.1,296.95,290.05,291.6,1145887,0
10-01-2005,290,297.5,279.5,281.7,956135,0
11-01-2005,281.9,284,265.05,267.9,1658220,0
12-01-2005,272,273,245.5,252.55,2455915,0
13-01-2005,257,268.9,256,264.35,2382132,0
14-01-2005,266,271.85,263.15,265.7,1249067,0
17-01-2005,269,269,254,262.5,865912,0
18-01-2005,263,272,259.55,261.25,1120262,0
19-01-2005,265,271.7,263.5,266.4,1014477,0
20-01-2005,268.5,273.4,263.25,271.2,635210,0
24-01-2005,272.8,277,271.25,275.3,771282,0
25-01-2005,262,275.5,262,272.9,540920,0
27-01-2005,274,275.75,266.55,268,556160,0
28-01-2005,269,275.45,269,274.95,638540,0
31-01-2005,278.7,289.25,277.05,286.75,2191545,0
01-02-2005,289.9,290,280.5,283.35,845510,0
02-02-2005,275,286.4,275,283.45,321698,0
03-02-2005,284,286.85,283,284.4,288400,0
04-02-2005,287,288.4,283.15,284.6,289515,0
07-02-2005,285,286.6,276.5,277.8,389940,0
08-02-2005,280,280.4,272.6,273.9,281563,0
09-02-2005,273,277,272,273.7,812552,0
10-02-2005,276.6,279.9,274.4,275.4,300008,0
11-02-2005,276,278,274.2,275.7,279293,0
14-02-2005,277.8,278.75,276,276.65,195710,0
15-02-2005,276.95,277,273.1,274.3,146903,0
16-02-2005,274,277.5,273.05,274.7,452062,0
17-02-2005,274,275,271,274.5,272575,0
18-02-2005,271.5,275.5,270.8,272,439580,0
21-02-2005,272,272,264.5,265.6,813712,0
22-02-2005,266,269.7,263.75,267.7,307728,0
23-02-2005,267.9,269,264.2,264.95,175743,0
24-02-2005,266.9,268.9,257.75,259.05,769560,0
25-02-2005,261,263.9,257.2,258.65,436845,0
28-02-2005,260,262.9,258.2,260.2,395120,0
01-03-2005,261,263.5,258.1,259.4,223813,0
02-03-2005,261,261.95,257.45,258.2,209878,0
03-03-2005,257.6,270.1,257.55,268.4,706372,0
04-03-2005,271.5,272.9,268.6,270,586177,0
07-03-2005,274,274,265.5,266.35,384502,0
08-03-2005,267.75,277,266,272.6,310775,0
09-03-2005,277,299.9,268.55,295.5,3944530,0
10-03-2005,290,294.75,283.4,284.6,1731612,0
11-03-2005,288,288.7,279,280,469620,0
14-03-2005,282.5,282.9,274,275.1,352180,0
15-03-2005,276.3,286.1,274.1,283.2,935445,0
16-03-2005,287,290,280.3,283,746187,0
17-03-2005,282,285,279,281.85,443370,0
18-03-2005,280,282.75,273.9,276.2,494175,0
21-03-2005,278.75,281.5,273,274.35,384857,0
22-03-2005,274.5,276.7,262.15,264,476362,0
23-03-2005,269.75,270,258,260.65,600955,0
24-03-2005,260.65,263,252,253.75,930875,0
28-03-2005,256,259.8,255,257.75,544160,0
29-03-2005,258,258.45,248,250.85,418125,0
30-03-2005,252,253.8,247,251.55,331330,0
31-03-2005,253.5,259,251.2,254.8,685747,0
